Game_Date,Away_Team,Away_Team_Points,Home_Team,Home_Team_Points,Leading_Scorer,Leading_Scorer_Team,Leading_Scorer_Points,Leading_Scorer_EFG
2011-12-25,ORL,89,OKC,97,Kevin Durant,OKC,30,.632
2011-12-26,OKC,104,MIN,100,Kevin Durant,OKC,33,.565
2011-12-28,OKC,98,MEM,95,Kevin Durant,OKC,32,.647
2011-12-29,DAL,102,OKC,104,Kevin Durant,OKC,30,.719
2011-12-31,PHX,97,OKC,107,Russell Westbrook,OKC,18,.571
2012-01-02,OKC,87,DAL,100,Kevin Durant,OKC,27,.548
2012-01-03,POR,103,OKC,93,LaMarcus Aldridge,POR,30,.526
2012-01-05,LAL,96,POR,107,Gerald Wallace,POR,31,.711
2012-01-06,POR,77,PHX,102,Jared Dudley,PHX,18,.636
2012-01-08,MIL,93,PHX,109,Marcin Gortat,PHX,18,.9
2012-01-10,PHX,83,LAL,99,Kobe Bryant,LAL,48,.581
2012-01-11,LAL,90,UTA,87,Kobe Bryant,LAL,40,.468
2012-01-13,CLE,92,LAL,97,Kobe Bryant,LAL,42,.548
2012-01-14,LAL,94,LAC,102,Kobe Bryant,LAL,42,.536
2012-01-16,DAL,70,LAL,73,Dirk Nowitzki,DAL,21,.471
2012-01-18,DAL,89,LAC,91,Mo Williams,LAC,26,.8
2012-01-20,MIN,101,LAC,98,Mo Williams,LAC,25,.767
2012-01-22,TOR,91,LAC,103,Mo Williams,LAC,26,.633
2012-01-25,LAC,91,LAL,96,Blake Griffin,LAC,26,.591
2012-01-26,MEM,91,LAC,98,Rudy Gay,MEM,24,.583
2012-01-28,MEM,84,PHX,86,Steve Nash,PHX,21,.643
2012-01-30,DAL,122,PHX,99,Delonte West,DAL,25,.958
2012-02-01,OKC,95,DAL,86,Russell Westbrook,OKC,33,.5
2012-02-03,MEM,94,OKC,101,Kevin Durant,OKC,36,.604
2012-02-04,OKC,96,SAS,107,Tony Parker,SAS,42,.552
2012-02-06,SAS,89,MEM,84,Marc Gasol,MEM,22,.533
2012-02-08,MIN,80,MEM,85,Rudy Gay,MEM,19,.452
2012-02-10,IND,92,MEM,98,David West,IND,22,.615
2012-02-11,DEN,113,IND,109,Ty Lawson,DEN,27,.647
2012-02-14,PHX,92,DEN,109,Markieff Morris,PHX,21,.563
2012-02-15,ATL,101,PHX,99,Josh Smith,ATL,30,.565
2012-02-18,ATL,77,POR,97,Nicolas Batum,POR,22,.7
2012-02-20,POR,92,LAL,103,Kobe Bryant,LAL,28,.519
2012-02-22,LAL,96,DAL,91,Dirk Nowitzki,DAL,25,.432
2012-02-28,NJN,93,DAL,92,Brook Lopez,NJN,38,.607
2012-03-02,NJN,94,BOS,107,Brook Lopez,NJN,28,.476
2012-03-04,NJN,104,CHA,101,Deron Williams,NJN,57,.621
2012-03-06,NJN,78,MIA,108,LeBron James,MIA,21,.864
2012-03-07,ATL,86,MIA,89,LeBron James,MIA,31,.6
2012-03-10,IND,91,MIA,93,Dwyane Wade,MIA,28,.625
2012-03-13,MIA,98,ORL,104,Dwyane Wade,MIA,28,.591
2012-03-14,MIA,102,CHI,106,Dwyane Wade,MIA,36,.635
2012-03-16,MIA,84,PHI,78,LeBron James,MIA,29,.6
2012-03-18,ORL,81,MIA,91,Dwyane Wade,MIA,31,.52
2012-03-20,PHX,95,MIA,99,Chris Bosh,MIA,29,.75
2012-03-23,MIA,88,DET,73,Dwyane Wade,MIA,24,.526
2012-03-25,MIA,87,OKC,103,Kevin Durant,OKC,28,.65
2012-03-27,OKC,109,POR,95,Russell Westbrook,OKC,32,.615
2012-03-29,OKC,102,LAL,93,Russell Westbrook,OKC,36,.5
2012-04-01,CHI,78,OKC,92,Russell Westbrook,OKC,27,.583
2012-04-02,MEM,94,OKC,88,O.J. Mayo,MEM,22,.447
2012-04-03,GSW,94,MEM,98,David Lee,GSW,22,.455
2012-04-04,GSW,97,MIN,94,David Lee,GSW,31,.52
2012-04-06,GSW,98,UTA,104,Al Jefferson,UTA,30,.722
2012-04-08,UTA,104,SAS,114,Tony Parker,SAS,28,.6
2012-04-09,SAS,84,UTA,91,Devin Harris,UTA,25,.5
2012-04-11,UTA,103,HOU,91,Gordon Hayward,UTA,29,.786
2012-04-13,UTA,85,NOH,96,Paul Millsap,UTA,27,.524
2012-04-14,UTA,98,MEM,103,Rudy Gay,MEM,26,.531
2012-04-15,MEM,75,NOH,88,Rudy Gay,MEM,24,.588
2012-04-17,MEM,91,MIN,84,Jose Juan Barea,MIN,28,.625
2012-04-19,MIN,91,DET,80,Nikola Pekovic,MIN,23,.588
2012-04-22,GSW,93,MIN,88,Charles Jenkins,GSW,24,.545
2012-04-24,NOH,83,GSW,81,Marco Belinelli,NOH,23,.714
2012-04-26,NOH,77,HOU,84,Chase Budinger,HOU,27,.694
