Game_Date,Away_Team,Away_Team_Points,Home_Team,Home_Team_Points,Leading_Scorer,Leading_Scorer_Team,Leading_Scorer_Points,Leading_Scorer_EFG
2010-10-27,CHI,95,OKC,106,Kevin Durant,OKC,30,.396
2010-10-29,OKC,105,DET,104,Ben Gordon,DET,32,.75
2010-10-30,DET,91,CHI,101,Derrick Rose,CHI,39,.537
2010-11-01,POR,98,CHI,110,Luol Deng,CHI,40,.816
2010-11-04,NYK,120,CHI,112,Toney Douglas,NYK,30,.821
2010-11-05,WAS,91,NYK,112,Andray Blatche,WAS,22,.529
2010-11-06,CLE,107,WAS,102,Mo Williams,CLE,28,.553
2010-11-09,CLE,93,NJN,91,Travis Outlaw,NJN,27,.591
2010-11-10,NJN,95,CLE,87,Devin Harris,NJN,31,.457
2010-11-13,ORL,91,NJN,90,Devin Harris,NJN,26,.594
2010-11-15,NJN,110,LAC,96,Eric Gordon,LAC,30,.35
2010-11-17,LAC,111,MIN,113,Michael Beasley,MIN,33,.652
2010-11-19,LAL,112,MIN,95,Michael Beasley,MIN,25,.432
2010-11-22,MIN,107,OKC,117,Kevin Durant,OKC,28,.375
2010-11-24,DAL,111,OKC,103,Dirk Nowitzki,DAL,34,.667
2010-11-26,DAL,103,SAS,94,Manu Ginobili,SAS,31,.688
2010-11-28,SAS,109,NOH,95,David West,NOH,23,.714
2010-11-29,NOH,89,OKC,95,Kevin Durant,OKC,26,.318
2010-12-01,OKC,123,NJN,120,Russell Westbrook,OKC,38,.438
2010-12-03,OKC,99,TOR,111,Andrea Bargnani,TOR,26,.575
2010-12-05,NYK,116,TOR,99,Amar'e Stoudemire,NYK,31,.5
2010-12-06,MIN,114,NYK,121,Amar'e Stoudemire,NYK,34,.652
2010-12-08,TOR,110,NYK,113,Andrea Bargnani,TOR,41,.708
2010-12-10,DEN,123,TOR,116,Al Harrington,DEN,31,.789
2010-12-12,DEN,125,NYK,129,Carmelo Anthony,DEN,31,.407
2010-12-14,ORL,94,DEN,111,Carmelo Anthony,DEN,35,.667
2010-12-16,SAS,113,DEN,112,Carmelo Anthony,DEN,31,.525
2010-12-18,MIN,113,DEN,115,Kevin Love,MIN,43,.717
2010-12-20,MIN,90,LAC,113,Eric Gordon,LAC,36,.717
2010-12-22,HOU,97,LAC,92,Kevin Martin,HOU,28,.5
