Game_Date,Away_Team,Away_Team_Points,Home_Team,Home_Team_Points,Leading_Scorer,Leading_Scorer_Team,Leading_Scorer_Points,Leading_Scorer_EFG
2010-12-27,WAS,93,HOU,100,Kevin Martin,HOU,20,.5
2010-12-29,MIA,125,HOU,119,Dwyane Wade,MIA,45,.729
2011-01-01,GSW,107,MIA,114,Dorell Wright,GSW,30,.714
2011-01-03,GSW,90,ORL,110,Dwight Howard,ORL,22,.778
2011-01-05,MIL,87,ORL,97,Dwight Howard,ORL,28,.563
2011-01-07,HOU,95,ORL,110,Kevin Martin,HOU,27,.6
2011-01-08,UTA,103,HOU,99,Paul Millsap,UTA,27,.55
2011-01-12,NYK,125,UTA,131,Shawne Williams,NYK,25,.958
2011-01-14,SAC,93,NYK,83,Beno Udrih,SAC,29,.857
2011-01-15,SAC,106,DET,110,Tyreke Evans,SAC,25,.522
2011-01-17,SAC,98,ATL,100,Joe Johnson,ATL,36,.611
2011-01-18,ATL,93,MIA,89,LeBron James,MIA,34,.4
2011-01-22,TOR,103,MIA,120,LeBron James,MIA,38,.5
2011-01-27,MIA,88,NYK,93,Dwyane Wade,MIA,34,.636
2011-01-28,DET,87,MIA,88,LeBron James,MIA,39,.64
2011-01-30,MIA,108,OKC,103,Kevin Durant,OKC,33,.425
2011-02-02,NOH,93,OKC,104,Kevin Durant,OKC,43,.868
2011-02-04,OKC,111,PHX,107,Vince Carter,PHX,33,.667
2011-02-07,PHX,104,GSW,92,Monta Ellis,GSW,21,.324
2011-02-09,DEN,114,GSW,116,Monta Ellis,GSW,37,.6
2011-02-10,GSW,88,PHX,112,Steve Nash,PHX,18,.75
2011-02-11,PHX,95,UTA,83,CJ Miles,UTA,19,.5
2011-02-15,UTA,101,PHX,102,Al Jefferson,UTA,32,.609
2011-02-16,GSW,107,UTA,100,Monta Ellis,GSW,35,.68
2011-02-22,BOS,115,GSW,93,Kevin Garnett,BOS,24,.688
2011-02-24,BOS,75,DEN,89,Kenyon Martin,DEN,18,.654
2011-02-25,DEN,106,POR,107,Danilo Gallinari,DEN,30,.536
2011-02-28,ATL,90,DEN,100,Joe Johnson,ATL,22,.435
2011-03-02,CHI,80,ATL,83,Al Horford,ATL,31,.675
2011-03-04,OKC,111,ATL,104,Kevin Durant,OKC,29,.667
2011-03-06,PHX,118,OKC,122,Russell Westbrook,OKC,32,.528
2011-03-07,OKC,101,MEM,107,Russell Westbrook,OKC,27,.548
2011-03-09,OKC,110,PHI,105,Kevin Durant,OKC,34,.558
2011-03-11,DET,94,OKC,104,Kevin Durant,OKC,24,.5
2011-03-13,OKC,95,CLE,75,Russell Westbrook,OKC,20,.625
2011-03-14,OKC,116,WAS,89,Kevin Durant,OKC,32,.719
2011-03-16,OKC,96,MIA,85,Kevin Durant,OKC,29,.619
2011-03-18,CHA,82,OKC,99,Kevin Durant,OKC,25,.556
2011-03-20,TOR,95,OKC,93,James Harden,OKC,23,.667
2011-03-23,UTA,94,OKC,106,Al Jefferson,UTA,32,.778
2011-03-24,NOH,121,UTA,117,Paul Millsap,UTA,33,.65
2011-03-26,DAL,94,UTA,77,Jason Terry,DAL,22,1.143
2011-03-27,DAL,91,PHX,83,Marcin Gortat,PHX,20,.615
2011-03-29,PHX,113,SAC,116,Marcus Thornton,SAC,24,.553
2011-03-30,SAC,90,DEN,104,Marcus Thornton,SAC,27,.605
2011-04-01,DEN,99,SAC,90,Francisco Garcia,SAC,17,.636
2011-04-03,UTA,97,SAC,106,Tyreke Evans,SAC,24,.688
2011-04-05,SAC,104,HOU,101,Kevin Martin,HOU,30,.52
2011-04-06,HOU,93,NOH,101,Chris Paul,NOH,28,.525
2011-04-08,PHX,97,NOH,109,Willie Green,NOH,31,.853
2011-04-10,NOH,89,MEM,111,Marco Belinelli,NOH,18,.75
2011-04-11,UTA,90,NOH,78,CJ Miles,UTA,18,.833
2011-04-13,DEN,103,UTA,107,Gordon Hayward,UTA,34,.853
