Game_Date,Away_Team,Away_Team_Points,Home_Team,Home_Team_Points,Leading_Scorer,Leading_Scorer_Team,Leading_Scorer_Points,Leading_Scorer_EFG
2015-10-28,SAS,106,OKC,112,Russell Westbrook,OKC,33,.587
2015-10-30,OKC,139,ORL,136,Russell Westbrook,OKC,48,.486
2015-11-01,DEN,93,OKC,117,Kevin Durant,OKC,25,.864
2015-11-02,OKC,105,HOU,110,James Harden,HOU,37,.538
2015-11-04,ORL,114,HOU,119,Evan Fournier,ORL,29,.595
2015-11-06,TOR,87,ORL,92,DeMar DeRozan,TOR,23,.467
2015-11-08,TOR,76,MIA,96,Chris Bosh,MIA,23,.714
2015-11-10,LAL,88,MIA,101,Chris Bosh,MIA,30,.625
2015-11-12,UTA,91,MIA,92,Derrick Favors,UTA,25,.556
2015-11-13,UTA,93,ORL,102,Evan Fournier,ORL,21,.533
2015-11-14,ORL,99,WAS,108,Kris Humphries,WAS,23,.821
2015-11-17,MIL,86,WAS,115,John Wall,WAS,19,.8
2015-11-21,WAS,97,DET,95,Reggie Jackson,DET,20,.472
2015-11-23,DET,88,MIL,109,Greg Monroe,MIL,20,.474
2015-11-25,SAC,129,MIL,118,Rudy Gay,SAC,36,.667
2015-11-27,MIN,101,SAC,91,Andrew Wiggins,MIN,22,.5
2015-11-29,MIN,99,LAC,107,Blake Griffin,LAC,26,.594
2015-11-30,POR,87,LAC,102,Blake Griffin,LAC,23,.421
2015-12-02,IND,103,LAC,91,Paul George,IND,31,.5
2015-12-03,IND,111,POR,123,CJ Miles,IND,27,.929
2015-12-05,IND,119,UTA,122,Paul George,IND,48,.704
2015-12-08,GSW,131,IND,123,Klay Thompson,GSW,39,.857
2015-12-11,GSW,124,BOS,119,Stephen Curry,GSW,38,.444
2015-12-12,GSW,95,MIL,108,Greg Monroe,MIL,28,.647
2015-12-15,MIL,95,LAL,113,Kobe Bryant,LAL,22,.567
2015-12-17,HOU,107,LAL,87,James Harden,HOU,25,.333
2015-12-19,LAC,97,HOU,107,Dwight Howard,HOU,22,.727
2015-12-21,CHA,95,HOU,102,James Harden,HOU,36,.625
2015-12-23,HOU,101,ORL,104,James Harden,HOU,31,.722
2015-12-25,SAS,84,HOU,88,Kawhi Leonard,SAS,20,.474
2015-12-26,DEN,86,SAS,101,Nikola Jokic,DEN,22,.553
2015-12-27,DEN,112,OKC,122,Russell Westbrook,OKC,30,.667
2015-12-29,MIL,123,OKC,131,Khris Middleton,MIL,36,.727
2015-12-31,MIL,120,IND,116,Khris Middleton,MIL,33,.778
2016-01-02,MIL,95,MIN,85,Greg Monroe,MIL,19,.538
2016-01-04,SAS,123,MIL,98,Kawhi Leonard,SAS,24,.875
2016-01-06,UTA,98,SAS,123,Trey Burke,UTA,21,.618
2016-01-07,UTA,94,HOU,103,James Harden,HOU,33,.52
2016-01-10,IND,103,HOU,107,Trevor Ariza,HOU,24,.75
2016-01-12,HOU,107,MEM,91,James Harden,HOU,25,.615
2016-01-13,MIN,104,HOU,107,Andrew Wiggins,MIN,28,.625
2016-01-15,MIN,93,OKC,113,Andrew Wiggins,MIN,25,.455
2016-01-17,PHX,87,MIN,117,Brandon Knight,PHX,20,.5
2016-01-19,IND,97,PHX,94,Devin Booker,PHX,32,.75
2016-01-21,SAS,117,PHX,89,Devin Booker,PHX,24,.563
2016-01-23,ATL,95,PHX,98,Archie Goodwin,PHX,24,.471
2016-01-26,PHX,103,PHI,113,Archie Goodwin,PHX,26,.767
2016-01-27,PHX,93,CLE,115,LeBron James,CLE,21,.875
2016-01-29,CLE,114,DET,106,Kevin Love,CLE,29,.605
2016-01-30,SAS,103,CLE,117,LeBron James,CLE,29,.588
2016-02-01,CLE,111,IND,106,Kyrie Irving,CLE,25,.525
2016-02-03,CLE,97,CHA,106,Kyrie Irving,CLE,26,.618
2016-02-05,BOS,104,CLE,103,LeBron James,CLE,30,.391
2016-02-06,NOP,84,CLE,99,Kyrie Irving,CLE,29,.595
2016-02-08,SAC,100,CLE,120,Kyrie Irving,CLE,32,.738
2016-02-10,LAL,111,CLE,120,Kyrie Irving,CLE,35,.688
2016-02-18,CHI,95,CLE,106,Derrick Rose,CHI,28,.632
2016-02-19,TOR,106,CHI,116,Doug McDermott,CHI,30,.882
2016-02-21,LAL,115,CHI,126,E'Twaun Moore,CHI,24,.857
2016-02-24,WAS,104,CHI,109,Bradley Beal,WAS,19,.368
2016-02-26,WAS,103,PHI,94,John Wall,WAS,23,.474
2016-02-28,CLE,99,WAS,113,Kyrie Irving,CLE,28,.55
2016-02-29,IND,96,CLE,100,LeBron James,CLE,33,.682
2016-03-04,WAS,83,CLE,108,Kyrie Irving,CLE,21,.528
2016-03-05,BOS,103,CLE,120,LeBron James,CLE,28,.575
2016-03-07,MEM,106,CLE,103,LeBron James,CLE,28,.632
2016-03-09,CLE,120,SAC,111,Kyrie Irving,CLE,30,.568
2016-03-10,CLE,120,LAL,108,Kobe Bryant,LAL,26,.781
2016-03-13,NYK,90,LAL,87,Carmelo Anthony,NYK,26,.55
2016-03-16,NYK,85,GSW,121,Stephen Curry,GSW,34,.8
2016-03-18,GSW,130,DAL,112,Klay Thompson,GSW,39,.864
2016-03-19,GSW,79,SAS,87,LaMarcus Aldridge,SAS,26,.44
2016-03-21,SAS,88,CHA,91,Jeremy Lin,CHA,29,.722
2016-03-22,CHA,105,BKN,100,Brook Lopez,BKN,29,.579
2016-03-24,CLE,95,BKN,104,LeBron James,CLE,30,.844
2016-03-26,CLE,107,NYK,93,Kevin Love,CLE,28,.632
2016-03-29,HOU,106,CLE,100,Kyrie Irving,CLE,31,.5
2016-03-31,BKN,87,CLE,107,LeBron James,CLE,24,.727
2016-04-01,CLE,110,ATL,108,Paul Millsap,ATL,29,.591
2016-04-05,PHX,90,ATL,103,Devin Booker,PHX,34,.56
2016-04-07,PHX,124,HOU,115,James Harden,HOU,30,.893
2016-04-10,LAL,110,HOU,130,James Harden,HOU,40,.548
2016-04-11,HOU,129,MIN,105,James Harden,HOU,34,.69
2016-04-13,SAC,81,HOU,116,James Harden,HOU,38,.574
