Game_Date,Away_Team,Away_Team_Points,Home_Team,Home_Team_Points,Leading_Scorer,Leading_Scorer_Team,Leading_Scorer_Points,Leading_Scorer_EFG
2014-10-29,OKC,89,POR,106,Russell Westbrook,OKC,38,.442
2014-10-30,OKC,90,LAC,93,Perry Jones,OKC,32,.676
2014-11-01,DEN,91,OKC,102,Ty Lawson,DEN,25,.708
2014-11-03,SAC,110,DEN,105,Darren Collison,SAC,21,.556
2014-11-05,DEN,109,SAC,131,DeMarcus Cousins,SAC,30,.714
2014-11-07,SAC,114,PHX,112,DeMarcus Cousins,SAC,25,.429
2014-11-09,SAC,93,OKC,101,Rudy Gay,SAC,23,.5
2014-11-11,SAC,98,DAL,106,Rudy Gay,SAC,26,.536
2014-11-13,SAC,110,MEM,111,Rudy Gay,SAC,25,.5
2014-11-15,SAS,91,SAC,94,DeMarcus Cousins,SAC,25,.526
2014-11-18,NOP,106,SAC,100,Anthony Davis,NOP,28,.579
2014-11-21,NOP,97,DEN,117,Kenneth Faried,DEN,19,.625
2014-11-23,DEN,101,LAL,94,Kobe Bryant,LAL,27,.417
2014-11-26,MEM,99,LAL,93,Kobe Bryant,LAL,22,.4
2014-11-28,MIN,120,LAL,119,Zach LaVine,MIN,28,.857
2014-11-30,MIN,93,POR,107,Shabazz Muhammad,MIN,28,.706
2014-12-01,MIN,101,LAC,127,JJ Redick,LAC,23,.818
2014-12-03,ORL,86,LAC,114,Blake Griffin,LAC,21,.563
2014-12-06,NOP,100,LAC,120,Blake Griffin,LAC,30,.667
2014-12-08,PHX,120,LAC,121,Blake Griffin,LAC,45,.625
2014-12-10,LAC,103,IND,96,CJ Miles,IND,30,.659
2014-12-12,IND,94,TOR,106,Lou Williams,TOR,26,.639
2014-12-14,TOR,95,NYK,90,Carmelo Anthony,NYK,34,.542
2014-12-16,DAL,107,NYK,87,Carmelo Anthony,NYK,26,.522
2014-12-18,NYK,97,CHI,103,Jimmy Butler,CHI,35,.619
2014-12-19,CHI,103,MEM,97,Jimmy Butler,CHI,31,.524
2014-12-22,TOR,120,CHI,129,Kyle Lowry,TOR,34,.636
2014-12-27,TOR,110,LAC,98,Kyle Lowry,TOR,25,.618
2014-12-28,TOR,116,DEN,102,Lou Williams,TOR,31,.722
2014-12-30,TOR,97,POR,102,Jodie Meeks,DET,34,.969
2015-01-02,DET,97,NYK,81,Brandon Jennings,DET,29,.765
2015-01-04,SAC,95,DET,114,Brandon Jennings,DET,35,.786
2015-01-06,DET,105,SAS,104,Andre Drummond,DET,20,.8
2015-01-07,DET,108,DAL,95,Greg Monroe,DET,27,.688
2015-01-09,ATL,106,DET,103,Kentavious Caldwell-Pope,DET,20,.435
2015-01-10,BKN,93,DET,98,Brandon Jennings,DET,20,.441
2015-01-12,DET,114,TOR,111,Brandon Jennings,DET,34,.591
2015-01-14,NOP,105,DET,94,Anthony Davis,NOP,27,.611
2015-01-16,NOP,81,PHI,96,Michael Carter-Williams,PHI,22,.5
2015-01-17,PHI,89,DET,107,Kyle Singler,DET,20,.833
2015-01-19,DET,82,ATL,93,Mike Scott,ATL,20,.667
2015-01-21,IND,91,ATL,110,CJ Miles,IND,18,.533
2015-01-23,IND,87,MIA,89,Luol Deng,MIA,23,.808
2015-01-25,MIA,96,CHI,84,Dwyane Wade,MIA,26,.556
2015-01-27,MIL,109,MIA,102,Chris Bosh,MIA,26,.579
2015-01-30,DAL,93,MIA,72,Charlie Villanueva,DAL,20,.667
2015-01-31,DAL,108,ORL,93,Monta Ellis,DAL,25,.575
2015-02-02,MIN,94,DAL,100,Monta Ellis,DAL,23,.405
2015-02-04,DAL,114,GSW,128,Stephen Curry,GSW,51,.808
2015-02-06,GSW,116,ATL,124,Klay Thompson,GSW,29,.65
2015-02-07,GSW,106,NYK,92,Stephen Curry,GSW,22,.583
2015-02-09,GSW,89,PHI,84,Robert Covington,PHI,21,.6
2015-02-20,IND,106,PHI,95,Rodney Stuckey,IND,30,.688
2015-02-22,GSW,98,IND,104,Klay Thompson,GSW,39,.518
2015-02-24,GSW,114,WAS,107,Stephen Curry,GSW,32,.75
2015-02-26,GSW,99,CLE,110,LeBron James,CLE,42,.68
