Game_Date,Away_Team,Away_Team_Points,Home_Team,Home_Team_Points,Leading_Scorer,Leading_Scorer_Team,Leading_Scorer_Points,Leading_Scorer_EFG
2015-02-27,CLE,86,IND,93,J.R. Smith,CLE,21,.529
2015-03-01,CLE,103,HOU,105,LeBron James,CLE,37,.486
2015-03-03,BOS,79,CLE,110,LeBron James,CLE,27,.522
2015-03-04,CLE,120,TOR,112,LeBron James,CLE,29,.656
2015-03-06,CLE,97,ATL,106,Kyrie Irving,CLE,20,.438
2015-03-07,PHX,79,CLE,89,Timofey Mozgov,CLE,19,.75
2015-03-10,CLE,127,DAL,94,LeBron James,CLE,27,.857
2015-03-12,CLE,128,SAS,125,Kyrie Irving,CLE,57,.734
2015-03-15,CLE,123,ORL,108,Kyrie Irving,CLE,33,.967
2015-03-16,CLE,92,MIA,106,Dwyane Wade,MIA,32,.722
2015-03-18,POR,104,MIA,108,LaMarcus Aldridge,POR,34,.646
2015-03-20,POR,104,ORL,111,LaMarcus Aldridge,POR,31,.542
2015-03-21,POR,86,MEM,97,Damian Lillard,POR,27,.5
2015-03-24,GSW,122,POR,108,Stephen Curry,GSW,33,.705
2015-03-27,GSW,107,MEM,84,Stephen Curry,GSW,38,.727
2015-03-28,GSW,108,MIL,95,Stephen Curry,GSW,25,.846
2015-03-31,GSW,110,LAC,106,Blake Griffin,LAC,40,.64
2015-04-01,LAC,126,POR,122,Chris Paul,LAC,41,.738
2015-04-04,LAC,107,DEN,92,JJ Redick,LAC,25,.588
2015-04-05,LAC,106,LAL,78,Blake Griffin,LAC,18,.571
2015-04-07,LAL,100,LAC,105,JJ Redick,LAC,27,.786
2015-04-11,MEM,86,LAC,94,Zach Randolph,MEM,21,.421
2015-04-13,MEM,107,GSW,111,Klay Thompson,GSW,42,.95
2015-04-15,DEN,126,GSW,133,Klay Thompson,GSW,25,.875
