Game_Date,Away_Team,Away_Team_Points,Home_Team,Home_Team_Points,Leading_Scorer,Leading_Scorer_Team,Leading_Scorer_Points,Leading_Scorer_EFG
2016-12-11,GSW,116,MIN,108,Klay Thompson,GSW,30,.619
2016-12-13,GSW,113,NOP,109,Stephen Curry,GSW,30,.587
2016-12-15,NYK,90,GSW,103,Klay Thompson,GSW,25,.706
2016-12-17,POR,90,GSW,135,Kevin Durant,GSW,34,1
2016-12-20,UTA,74,GSW,104,Stephen Curry,GSW,25,.556
2016-12-22,GSW,117,BKN,101,Brook Lopez,BKN,28,.688
2016-12-23,BKN,99,CLE,119,LeBron James,CLE,19,.438
2016-12-25,GSW,108,CLE,109,Kevin Durant,GSW,36,.522
2016-12-28,TOR,111,GSW,121,DeMar DeRozan,TOR,29,.435
2016-12-29,TOR,91,PHX,99,Kyle Lowry,TOR,24,.567
2017-01-01,TOR,123,LAL,114,Kyle Lowry,TOR,41,.938
2017-01-03,TOR,82,SAS,110,DeMar DeRozan,TOR,26,.571
2017-01-05,UTA,93,TOR,101,Kyle Lowry,TOR,33,.706
2017-01-07,TOR,118,CHI,123,Jimmy Butler,CHI,42,.48
2017-01-09,OKC,109,CHI,94,Steven Adams,OKC,22,.786
2017-01-11,MEM,95,OKC,103,Russell Westbrook,OKC,24,.3
2017-01-13,OKC,86,MIN,96,Karl-Anthony Towns,MIN,29,.647
2017-01-15,MIN,87,DAL,98,Gorgui Dieng,MIN,21,.833
2017-01-17,MIN,114,SAS,122,Kawhi Leonard,SAS,34,.765
2017-01-19,DEN,104,SAS,118,Nikola Jokic,DEN,35,.682
2017-01-21,LAC,98,DEN,123,Nikola Jokic,DEN,19,.818
2017-01-22,DEN,108,MIN,111,Karl-Anthony Towns,MIN,32,.684
2017-01-24,MIN,112,PHX,111,Andrew Wiggins,MIN,31,.545
2017-01-26,IND,109,MIN,103,Karl-Anthony Towns,MIN,33,.652
2017-01-28,BKN,109,MIN,129,Karl-Anthony Towns,MIN,37,.593
2017-01-30,ORL,105,MIN,111,Andrew Wiggins,MIN,27,.525
2017-02-01,MIN,97,CLE,125,LeBron James,CLE,27,.821
2017-02-04,CLE,111,NYK,104,LeBron James,CLE,32,.7
2017-02-06,CLE,140,WAS,135,Bradley Beal,WAS,41,.679
2017-02-08,WAS,114,BKN,110,Bradley Beal,WAS,31,.54
2017-02-10,IND,107,WAS,112,Paul George,IND,31,.565
2017-02-11,MIL,116,IND,100,CJ Miles,IND,23,.688
2017-02-13,SAS,110,IND,106,Kawhi Leonard,SAS,32,.609
2017-02-15,SAS,107,ORL,79,LaMarcus Aldridge,SAS,23,.769
2017-02-24,SAS,105,LAC,97,Blake Griffin,LAC,29,.529
2017-02-26,CHA,121,LAC,124,Blake Griffin,LAC,43,.635
2017-03-01,HOU,122,LAC,103,James Harden,HOU,26,.6
2017-03-04,MEM,108,HOU,123,James Harden,HOU,33,.8
2017-03-06,HOU,110,SAS,112,James Harden,HOU,39,.8
2017-03-08,UTA,115,HOU,108,James Harden,HOU,35,.455
2017-03-10,HOU,115,CHI,94,Ryan Anderson,HOU,21,.667
2017-03-12,CLE,112,HOU,117,James Harden,HOU,38,.536
2017-03-15,LAL,100,HOU,139,Julius Randle,LAL,32,.765
2017-03-17,MIL,107,LAL,103,Khris Middleton,MIL,30,.611
2017-03-18,MIL,92,GSW,117,Stephen Curry,GSW,28,.923
2017-03-20,GSW,111,OKC,95,Klay Thompson,GSW,34,.738
2017-03-21,GSW,112,DAL,87,Klay Thompson,GSW,23,.767
2017-03-24,SAC,100,GSW,114,Stephen Curry,GSW,27,.639
2017-03-26,MEM,94,GSW,106,Klay Thompson,GSW,31,.861
2017-03-28,GSW,113,HOU,106,Stephen Curry,GSW,32,.568
2017-03-29,GSW,110,SAS,98,Stephen Curry,GSW,29,.55
2017-03-31,HOU,98,GSW,107,Stephen Curry,GSW,24,.556
2017-04-02,WAS,115,GSW,139,Stephen Curry,GSW,42,.886
2017-04-04,MIN,107,GSW,121,Klay Thompson,GSW,41,.688
2017-04-05,GSW,120,PHX,111,Stephen Curry,GSW,42,.76
2017-04-08,NOP,101,GSW,123,Quinn Cook,NOP,22,.846
2017-04-11,NOP,96,LAL,108,Cheick Diallo,NOP,19,.9
2017-04-12,NOP,103,POR,100,Shabazz Napier,POR,25,.639
