Game_Date,Away_Team,Away_Team_Points,Home_Team,Home_Team_Points,Leading_Scorer,Leading_Scorer_Team,Leading_Scorer_Points,Leading_Scorer_EFG
2016-10-25,SAS,129,GSW,100,Kawhi Leonard,SAS,35,.476
2016-10-27,SAS,102,SAC,94,DeMarcus Cousins,SAC,37,.523
2016-10-29,MIN,103,SAC,106,DeMarcus Cousins,SAC,29,.563
2016-10-31,SAC,95,ATL,106,Rudy Gay,SAC,22,.654
2016-11-01,SAC,96,MIA,108,DeMarcus Cousins,SAC,30,.5
2016-11-03,SAC,94,ORL,102,DeMarcus Cousins,SAC,33,.625
2016-11-05,SAC,91,MIL,117,Mirza Teletovic,MIL,22,1.167
2016-11-06,MIL,75,DAL,86,Harrison Barnes,DAL,34,.538
2016-11-08,DAL,109,LAL,97,Harrison Barnes,DAL,31,.639
2016-11-09,DAL,95,GSW,116,Kevin Durant,GSW,28,.75
2016-11-10,GSW,125,DEN,101,Stephen Curry,GSW,33,.794
2016-11-13,PHX,120,GSW,133,Klay Thompson,GSW,30,.75
2016-11-16,GSW,127,TOR,121,Stephen Curry,GSW,35,.605
2016-11-18,GSW,104,BOS,88,Klay Thompson,GSW,28,.643
2016-11-19,GSW,124,MIL,121,Kevin Durant,GSW,33,.735
2016-11-21,GSW,120,IND,83,Klay Thompson,GSW,25,.667
2016-11-23,LAL,106,GSW,149,Stephen Curry,GSW,31,.806
2016-11-25,GSW,109,LAL,85,Kevin Durant,GSW,29,.658
2016-11-26,MIN,102,GSW,115,Stephen Curry,GSW,34,.789
2016-11-28,ATL,100,GSW,105,Kevin Durant,GSW,25,.531
2016-12-01,HOU,132,GSW,127,Kevin Durant,GSW,39,.482
2016-12-03,PHX,109,GSW,138,Stephen Curry,GSW,31,.833
2016-12-05,IND,106,GSW,142,Klay Thompson,GSW,60,.758
2016-12-07,GSW,115,LAC,98,Klay Thompson,GSW,24,.528
2016-12-08,GSW,106,UTA,99,Stephen Curry,GSW,26,.531
2016-12-10,GSW,89,MEM,110,Kevin Durant,GSW,21,.654
